state,county,key,url,source,status,kind,finalUrl
IA,Dickinson,IA-Dickinson,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Floyd,IA-Floyd,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Iowa,IA-Iowa,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Johnson,IA-Johnson,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Linn,IA-Linn,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Montgomery,IA-Montgomery,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Polk,IA-Polk,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Pottawattamie,IA-Pottawattamie,https://www.pottco.org/,Base,200,ok,https://www.pottco.org/
IA,Poweshiek,IA-Poweshiek,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Story,IA-Story,https://www.iowatreasurers.org/,Base,200,ok,https://www.iowatreasurers.org/
IA,Woodbury,IA-Woodbury,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IA,Worth,IA-Worth,https://www.iowataxandtags.org/,Base,200,ok,https://www.iowataxandtags.org/
IL,Adams,IL-Adams,https://adamsil.devnetwedge.com/,Base,200,ok,https://adamsil.devnetwedge.com/
IL,Boone,IL-Boone,https://booneil.devnetwedge.com/,Base,200,ok,https://booneil.devnetwedge.com/
IL,Bureau,IL-Bureau,https://propertytaxonline.org/Bureau/,Search,200,ok,https://propertytaxonline.org/Bureau/
IL,Champaign,IL-Champaign,http://www.co.champaign.il.us/,Base,200,ok,https://www.champaigncountyil.gov/
IL,Christian,IL-Christian,http://www.fikeandfike.com/propertytax/Christian/,Base,200,ok,https://propertytaxonline.org/Christian/
IL,Clark,IL-Clark,https://clarkil.devnetwedge.com/,Search,200,ok,https://clarkil.devnetwedge.com/
IL,Coles,IL-Coles,http://colesil.devnetwedge.com/,Base,200,ok,https://colesil.devnetwedge.com/
IL,Cook,IL-Cook,https://cookcountytreasurer.com/pinsummary.aspx,Search,200,ok,https://cookcountytreasurer.com/Error.aspx?aspxerrorpath=/pinsummary.aspx
IL,Cook Clerk,IL-CookClerk,http://www.cookcountyclerk.com/tsd/delinquenttaxsearch/Pages/DelinquentTaxSearch.aspx,Search,200,ok,https://www.cookcountyclerkil.gov/property-taxes/delinquent-property-tax-search
IL,Cook Treasurer,IL-CookTreasurer,https://www.cookcountytreasurer.com/setsearchparameters.aspx,Search,200,ok,https://www.cookcountytreasurer.com/setsearchparameters.aspx
IL,Du Page,IL-DuPage,https://propertylookup.dupagecounty.gov/search/commonsearch.aspx?mode=parid,Search,200,ok,https://propertylookup.dupagecounty.gov/Search/Disclaimer.aspx?FromUrl=../search/commonsearch.aspx?mode=parid
IL,Du Page Clerk,IL-DuPageClerk,http://www.dupageco.org/CountyClerk/,Base,200,ok,https://www.dupagecounty.gov/elected_officials/county_clerk/
IL,Greene,IL-Greene,https://propertytaxonline.org/Greene/InquiryCriteria.aspx,Search,200,ok,https://propertytaxonline.org/Greene/Inquiry.aspx
IL,Grundy,IL-Grundy,https://www.fikeandfike.com/,Base,200,ok,https://www.fikeandfike.com/
IL,Henry,IL-Henry,https://henryil.devnetwedge.com/,Base,200,ok,https://henryil.devnetwedge.com/
IL,Jackson,IL-Jackson,https://jacksonil.devnetwedge.com/,Base,200,ok,https://jacksonil.devnetwedge.com/
IL,Jersey,IL-Jersey,https://jerseyil.devnetwedge.com/,Base,200,ok,https://jerseyil.devnetwedge.com/
IL,Kane,IL-Kane,https://kaneil.devnetwedge.com/,Search,200,ok,https://kaneil.devnetwedge.com/
IL,Lake,IL-Lake,http://www.lakecountyil.gov/Treasurer/Payments/Pages/CurrentPaymentStatus.aspx,Search,403,gated,https://www.lakecountyil.gov/Treasurer/Payments/Pages/CurrentPaymentStatus.aspx
IL,Livingston,IL-Livingston,https://livingstonil.devnetwedge.com/,Base,200,ok,https://livingstonil.devnetwedge.com/
IL,Logan,IL-Logan,https://taxsearch.co.logan.il.us/,Base,200,ok,https://taxsearch.co.logan.il.us/
IL,Macon,IL-Macon,http://www.fikeandfike.com/,Base,200,ok,http://www.fikeandfike.com/
IL,Madison,IL-Madison,http://reweb1.co.madison.il.us/,Base,200,ok,http://reweb1.co.madison.il.us/
IL,Marion,IL-Marion,https://marionil.devnetwedge.com/,Base,200,ok,https://marionil.devnetwedge.com/
IL,Mc Lean,IL-McLean,https://mcleanil.devnetwedge.com/,Search,200,ok,https://mcleanil.devnetwedge.com/
