state,county,key,primary_search_url,source,active,confidence_base,quality,version
WI,Burnett,WI-Burnett,http://web.burnettcounty.org/access/REAL%20ESTATE/header.asp,Search,true,0.92,ok,1
WI,Calumet,WI-Calumet,http://calum400.co.calumet.wi.us/NSCCALO/,Base,true,0.78,ok,1
WI,Chippewa,WI-Chippewa,http://cctax.co.chippewa.wi.us/,Base,false,0.78,ok,1
WI,Clark,WI-Clark,http://clarkcowi.wgxtreme.com/java/wgx_taxsearch/report/window/clarkcowi/,Base,true,0.78,ok,1
WI,Columbia,WI-Columbia,https://ascent.co.columbia.wi.us/LandRecords/PropertyListing/RealEstateTaxParcel#/Search,Search,true,0.92,ok,1
WI,Crawford,WI-Crawford,http://landrecords.crawfordcountywi.org/LandRecords/PropertyListing/RealEstateTa,Base,false,0.78,ok,1
WI,Cudahy City,WI-CudahyCity,http://propertytax.ci.cudahy.wi.us/GCSWebPortal/,Base,false,0.78,ok,1
WI,Dane,WI-Dane,http://accessdane.co.dane.wi.us/,Base,true,0.78,ok,1
WI,Dodge,WI-Dodge,http://dr1.co.dodge.wi.us/lrst/,Base,false,0.78,ok,1
WI,Door,WI-Door,http://pubinfo.co.door.wi.us/RERV10O/,Base,false,0.78,ok,1
WI,Douglas,WI-Douglas,http://www.gcssoftware.com/douglas/,Base,false,0.78,ok,1
WI,Dunn,WI-Dunn,http://216.222.161.54:8083/taxdata/,Base,true,0.78,ok,1
WI,Eau Claire,WI-EauClaire,,,false,0,no_url,1
WI,Florence,WI-Florence,http://gcs.florencewisconsin.com/GCSWebPortal/,Base,true,0.78,ok,1
WI,Fond Du Lac,WI-FondDuLac,http://landinfo.fdlco.wi.gov/ascent/Parcel/,Base,true,0.78,ok,1
WI,Forest,WI-Forest,http://www.gcssoftware.com/forest/,Base,false,0.78,ok,1
WI,Fox Point Village,WI-FoxPointVillage,http://host.gcssoftware.com/Foxpoint/,Base,true,0.78,ok,1
WI,Franklin City,WI-FranklinCity,http://gcs.franklinwi.gov/GCSWebPortal/,Base,false,0.78,ok,1
WI,Glendale City,WI-GlendaleCity,https://host.gcssoftware.com/Glendale/,Base,true,0.78,ok,1
WI,Grant,WI-Grant,http://www.grantcountylandrecords.com/GCSWebPortal/,Base,false,0.78,ok,1
